campus;categoria;curso;cor/raça;possui_necessidade_especial;necessidades_especiais
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Não declarada;Sim;Transtorno do Espectro Autista (TEA), Transtorno de Déficit de Atenção e Hiperatividade (TDAH)
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Não declarada;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PARTIU IF - ABL;Não declarada;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Técnico Administrativo;;Não Informado;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Não declarada;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Não declarada;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Técnico Administrativo;;Não Informado;Não;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Sim;Deficiência Múltipla
CAMPUS ABELARDO LUZ;Discente;PARTIU IF - ABL;Parda;Não;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Técnico Administrativo;;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Parda;Não;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Docente;;Não Informado;;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;TÉCNICO EM AGROPECUÁRIA INTEGRADO AO ENSINO MÉDIO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Branca;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Preta;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;LICENCIATURA INTERCULTURAL INDÍGENA COM ÊNFASE EM LINGUAGENS;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;AUXILIAR ADMINISTRATIVO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;ESCOLA DA TERRA - CURRÍCULO NAS ESCOLAS DO CAMPO;Indígena;Não;
CAMPUS ABELARDO LUZ;Discente;PEDAGOGIA;Parda;Não;
CAMPUS ABELARDO LUZ;Discente;OPERADOR DE COMPUTADOR;Parda;Não;
